_id,Date,Line,Time,Day,Station,Incident,Min Delay,Min Gap,Bound,Vehicle,,
186,2025-01-07,506,2:11,Tuesday,HIGH PARK LOOP,Emergency Services,22,42,None,4529,HIGH PARK LOOP,
187,2025-01-07,501,3:44,Tuesday,QUEEN AND SUMACH,Diversion,540,550,None,4565,QUEEN AND SUMACH,
188,2025-01-07,512,4:03,Tuesday,ST CLAIR STATION,General Delay,14,22,S,4624,ST CLAIR STATION,
189,2025-01-07,503,4:24,Tuesday,KINGSTON ROAD LOOP,Security,None,None,None,4414,KINGSTON ROAD LOOP,
190,2025-01-07,None,4:37,Tuesday,LESLIE BARNS,Operations,None,None,None,None,LESLIE BARNS,
191,2025-01-07,507,4:43,Tuesday,RONCEVALLES YARD,Operations,13,19,None,4554,RONCEVALLES YARD,
192,2025-01-07,511,4:44,Tuesday,RONCEVALLES YARD,Operations,10,11,None,4582,RONCEVALLES YARD,
193,2025-01-07,507,4:49,Tuesday,RONCESVALLES YARD,Operations,6,11,None,4580,RONCESVALLES YARD,
194,2025-01-07,511,4:50,Tuesday,RONCESVALLES YARD,Operations,9,16,None,4595,RONCESVALLES YARD,
195,2025-01-07,507,4:56,Tuesday,RONCESVALLES YARD,Operations,5,17,None,4574,RONCESVALLES YARD,
196,2025-01-07,501,4:56,Tuesday,RONCESVALLES YARD,Operations,10,22,None,4539,RONCESVALLES YARD,
197,2025-01-07,501,5:02,Tuesday,RONCESVALLES YARD,Operations,6,12,None,4546,RONCESVALLES YARD,
198,2025-01-07,501,5:03,Tuesday,RONCESVALLES YARD,Operations,15,30,None,4551,RONCESVALLES YARD,
199,2025-01-07,507,5:06,Tuesday,RONCESVALLES YARD,Operations,12,24,None,4578,RONCESVALLES YARD,
200,2025-01-07,501,5:06,Tuesday,RONCESVALLES TRANSPORT,Operations,None,None,None,4603,RONCESVALLES TRANSPORT,
201,2025-01-07,301,5:14,Tuesday,LONG BRANCH LOOP,Collision - TTC Involved,None,None,None,4541,LONG BRANCH LOOP,
202,2025-01-07,501,6:07,Tuesday,QUEEN AND RONCESVALLES,General Delay,None,None,W,4552,QUEEN AND RONCESVALLES,
203,2025-01-07,510,6:43,Tuesday,SPADINA STATION,Cleaning - Unsanitary,9,18,E,8715,SPADINA STATION,
204,2025-01-07,501,10:24,Tuesday,QUEENSWAY AND WINDEMER,Diversion,31,40,E,4553,QUEENSWAY AND WINDEMER,
205,2025-01-07,506,12:02,Tuesday,GERRARD AND BROADVIEW,Security,10,20,W,4605,GERRARD AND BROADVIEW,
206,2025-01-07,501,12:27,Tuesday,QUEEN AND SUMACH,Operations,9,18,E,4589,QUEEN AND SUMACH,
207,2025-01-07,501,15:40,Tuesday,QUEEN AND RONCESVALLES,Diversion,20,30,E,4539,QUEEN AND RONCESVALLES,
208,2025-01-07,512,16:18,Tuesday,ST CLAIR WEST STATION,Rail/Switches,None,None,W,4459,ST CLAIR WEST STATION,
209,2025-01-07,510,16:43,Tuesday,SPADINA AND BALDWIN,Emergency Services,2,5,N,8799,SPADINA AND BALDWIN,
210,2025-01-07,510,17:02,Tuesday,SPADINA AND COLLEGE,Mechanical,2,5,N,8726,SPADINA AND COLLEGE,
211,2025-01-07,512,17:26,Tuesday,ST CLAIR AND CHRISTIE,General Delay,None,None,W,None,ST CLAIR AND CHRISTIE,
212,2025-01-07,503,18:10,Tuesday,BROADVIEW AND QUEEN,Mechanical,10,20,S,4522,BROADVIEW AND QUEEN,
213,2025-01-07,505,18:24,Tuesday,BROADVIEW STATION - 50,Security,10,20,None,4526,BROADVIEW STATION - 50,
214,2025-01-07,505,19:13,Tuesday,BAY AND DUNDAS,Cleaning - Unsanitary,10,20,W,4524,BAY AND DUNDAS,
215,2025-01-07,501,21:11,Tuesday,SUNNYSIDE LOOP,Emergency Services,None,None,W,4591,SUNNYSIDE LOOP,
216,2025-01-07,504,21:49,Tuesday,CHURCH AND KING,Emergency Services,10,20,W,4422,CHURCH AND KING,
217,2025-01-07,506,23:00,Tuesday,COLLEGE AND SPADINA,Diversion,None,None,W,4628,COLLEGE AND SPADINA,
